week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
1989-04-16,46,4762903,The Phantom of the Opera,Majestic Theatre,542343,NA,41.41,NA,13096,1609,1.0174,8,0
1989-04-23,47,4899496,Cats,Winter Garden Theatre,468475,NA,39.76,NA,11784,1482,0.9939,8,0
1989-04-23,47,4899496,Les Miserables,Imperial Theatre,561096,NA,40.03,NA,14016,1752,1,8,0
1989-04-23,47,4899496,The Phantom of the Opera,Majestic Theatre,547470,NA,41.8,NA,13096,1609,1.0174,8,0
1989-04-30,48,4856468,Cats,Winter Garden Theatre,455774,NA,39.18,NA,11633,1482,0.9812,8,0
1989-04-30,48,4856468,Les Miserables,Imperial Theatre,559204,NA,39.9,NA,14016,1752,1,8,0
1989-04-30,48,4856468,The Phantom of the Opera,Majestic Theatre,548453,NA,41.88,NA,13096,1609,1.0174,8,0
1989-05-07,49,5136244,Cats,Winter Garden Theatre,493983,NA,41.43,NA,11923,1482,1.0057,8,0
1989-05-07,49,5136244,Les Miserables,Imperial Theatre,559054,NA,39.89,NA,14016,1752,1,8,0
1989-05-07,49,5136244,The Phantom of the Opera,Majestic Theatre,541068,NA,41.32,NA,13096,1609,1.0174,8,0
1989-05-14,50,4822353,Cats,Winter Garden Theatre,460537,NA,39.43,NA,11681,1482,0.9852,8,0
1989-05-14,50,4822353,Les Miserables,Imperial Theatre,556377,NA,39.7,NA,14016,1752,1,8,0
1989-05-14,50,4822353,The Phantom of the Opera,Majestic Theatre,545431,NA,41.65,NA,13096,1609,1.0174,8,0
1989-05-21,51,5072697,Cats,Winter Garden Theatre,474615,NA,39.95,NA,11881,1482,1.0021,8,0
1989-05-21,51,5072697,Les Miserables,Imperial Theatre,557519,NA,39.78,NA,14016,1752,1,8,0
1989-05-21,51,5072697,The Phantom of the Opera,Majestic Theatre,545303,NA,41.64,NA,13096,1609,1.0174,8,0
1989-05-28,52,4916012,Cats,Winter Garden Theatre,480507,NA,40.4,NA,11895,1482,1.0033,8,0
1989-05-28,52,4916012,Les Miserables,Imperial Theatre,564130,NA,40.25,NA,14016,1752,1,8,0
1989-05-28,52,4916012,The Phantom of the Opera,Majestic Theatre,549509,NA,41.96,NA,13096,1609,1.0174,8,0
1989-06-04,1,4210982,Cats,Winter Garden Theatre,450624,NA,39.02,NA,11550,1482,0.9742,8,0
1989-06-04,1,4210982,Les Miserables,Imperial Theatre,531440,NA,39.49,NA,13458,1752,0.9602,8,0
1989-06-04,1,4210982,The Phantom of the Opera,Majestic Theatre,548970,NA,41.92,NA,13096,1609,1.0174,8,0
1989-06-11,2,4707853,Cats,Winter Garden Theatre,473905,NA,40.01,NA,11846,1482,0.9992,8,0
1989-06-11,2,4707853,Les Miserables,Imperial Theatre,561874,NA,40.09,NA,14016,1752,1,8,0
1989-06-11,2,4707853,The Phantom of the Opera,Majestic Theatre,546646,NA,41.74,NA,13096,1609,1.0174,8,0
1989-06-18,3,4921525,Cats,Winter Garden Theatre,478900,NA,40.52,NA,11819,1482,0.9969,8,0
1989-06-18,3,4921525,Les Miserables,Imperial Theatre,562313,NA,40.12,NA,14016,1752,1,8,0
1989-06-18,3,4921525,The Phantom of the Opera,Majestic Theatre,546807,NA,41.75,NA,13096,1609,1.0174,8,0
1989-06-25,4,4849297,Cats,Winter Garden Theatre,483623,NA,40.85,NA,11840,1482,0.9987,8,0
1989-06-25,4,4849297,Les Miserables,Imperial Theatre,565198,NA,40.33,NA,14016,1752,1,8,0
1989-06-25,4,4849297,The Phantom of the Opera,Majestic Theatre,547430,NA,41.8,NA,13096,1609,1.0174,8,0
1989-07-02,5,4635963,Cats,Winter Garden Theatre,470185,NA,39.87,NA,11794,1482,0.9948,8,0
1989-07-02,5,4635963,Les Miserables,Imperial Theatre,564718,NA,40.31,NA,14009,1752,0.9995,8,0
1989-07-02,5,4635963,The Phantom of the Opera,Majestic Theatre,550437,NA,42.03,NA,13096,1609,1.0174,8,0
1989-07-09,6,3793064,Cats,Winter Garden Theatre,443455,NA,39.25,NA,11298,1482,0.9529,8,0
1989-07-09,6,3793064,Les Miserables,Imperial Theatre,524730,NA,40.44,NA,12975,1752,0.9257,8,0
1989-07-09,6,3793064,The Phantom of the Opera,Majestic Theatre,550370,NA,42.03,NA,13096,1609,1.0174,8,0
1989-07-16,7,4182058,Cats,Winter Garden Theatre,470778,NA,39.88,NA,11806,1482,0.9958,8,0
1989-07-16,7,4182058,Les Miserables,Imperial Theatre,556409,NA,40.11,NA,13873,1752,0.9898,8,0
1989-07-16,7,4182058,The Phantom of the Opera,Majestic Theatre,553635,NA,42.28,NA,13096,1609,1.0174,8,0
1989-07-23,8,4241400,Cats,Winter Garden Theatre,473714,NA,39.96,NA,11855,1482,0.9999,8,0
1989-07-23,8,4241400,Les Miserables,Imperial Theatre,558714,NA,40,NA,13968,1752,0.9966,8,0
1989-07-23,8,4241400,The Phantom of the Opera,Majestic Theatre,549607,NA,41.97,NA,13096,1609,1.0174,8,0
1989-07-30,9,4291088,Cats,Winter Garden Theatre,480797,NA,40.22,NA,11954,1482,1.0083,8,0
1989-07-30,9,4291088,Les Miserables,Imperial Theatre,566202,NA,40.4,NA,14016,1752,1,8,0
1989-07-30,9,4291088,The Phantom of the Opera,Majestic Theatre,548909,NA,41.91,NA,13096,1609,1.0174,8,0
1989-08-06,10,4396469,Cats,Winter Garden Theatre,475306,NA,39.95,NA,11899,1482,1.0036,8,0
1989-08-06,10,4396469,Les Miserables,Imperial Theatre,561713,NA,40.23,NA,13961,1752,0.9961,8,0
1989-08-06,10,4396469,The Phantom of the Opera,Majestic Theatre,551530,NA,42.11,NA,13096,1609,1.0174,8,0
1989-08-13,11,4709532,Cats,Winter Garden Theatre,492200,NA,41.11,NA,11972,1482,1.0098,8,0
1989-08-13,11,4709532,Les Miserables,Imperial Theatre,567118,NA,40.46,NA,14016,1752,1,8,0
1989-08-13,11,4709532,The Phantom of the Opera,Majestic Theatre,551059,NA,42.08,NA,13096,1609,1.0174,8,0
1989-08-20,12,4877393,Cats,Winter Garden Theatre,504370,NA,42.12,NA,11974,1482,1.01,8,0
1989-08-20,12,4877393,Les Miserables,Imperial Theatre,569539,NA,40.63,NA,14016,1752,1,8,0
1989-08-20,12,4877393,The Phantom of the Opera,Majestic Theatre,555010,NA,42.38,NA,13096,1609,1.0174,8,0
1989-08-27,13,4533449,Cats,Winter Garden Theatre,484728,NA,40.76,NA,11892,1482,1.003,8,0
1989-08-27,13,4533449,Les Miserables,Imperial Theatre,572482,NA,40.84,NA,14016,1752,1,8,0
1989-08-27,13,4533449,The Phantom of the Opera,Majestic Theatre,551139,NA,42.08,NA,13096,1609,1.0174,8,0
1989-09-03,14,4532124,Cats,Winter Garden Theatre,466548,NA,39.28,NA,11877,1482,1.0018,8,0
1989-09-03,14,4532124,Les Miserables,Imperial Theatre,563373,NA,40.41,NA,13940,1752,0.9946,8,0
1989-09-03,14,4532124,The Phantom of the Opera,Majestic Theatre,556432,NA,42.49,NA,13096,1609,1.0174,8,0
1989-09-10,15,3454404,Cats,Winter Garden Theatre,400783,NA,37.2,NA,10773,1482,0.9087,8,0
