Date,Inverter,Energy,
10/5/2022,1,16575.0,
10/6/2022,1,16200.6,
10/7/2022,1,16202.1,
10/8/2022,1,16088.5,
10/9/2022,1,16177.2,
10/10/2022,1,16068.1,
10/11/2022,1,15967.0,
10/12/2022,1,15535.7,
10/13/2022,1,15169.3,
10/14/2022,1,15291.3,
10/15/2022,1,14984.3,
10/16/2022,1,15027.4,
10/17/2022,1,14767.7,
10/18/2022,1,13065.7,
10/19/2022,1,13578.9,
10/20/2022,1,9963.9,
10/21/2022,1,13675.9,
10/22/2022,1,9655.7,
10/23/2022,1,15216.5,
10/24/2022,1,14900.3,
10/25/2022,1,14025.9,
10/26/2022,1,10177.6,
10/27/2022,1,15990.6,
10/28/2022,1,9269.4,
10/29/2022,1,8829.2,
10/30/2022,1,8990.9,
10/31/2022,1,2989.3,
11/1/2022,1,6256.6,
11/2/2022,1,4437.5,
11/3/2022,1,7311.3,
11/4/2022,1,6469.6,
11/5/2022,1,2461.1,
11/6/2022,1,75.1,
11/7/2022,1,1966.3,
11/8/2022,1,1680.4,
11/9/2022,1,8043.0,
11/10/2022,1,9654.8,
11/11/2022,1,7344.2,
11/12/2022,1,8294.0,
11/13/2022,1,9461.3,
11/14/2022,1,9094.4,
11/15/2022,1,13043.9,
1/1/2022,2,6282.4,
1/2/2022,2,3579.2,
1/3/2022,2,6199.5,
1/4/2022,2,3458.6,
1/5/2022,2,3076.8,
1/6/2022,2,5387.3,
1/7/2022,2,2868.7,
1/8/2022,2,4681.0,
1/9/2022,2,5733.5,
1/10/2022,2,4877.8,
1/11/2022,2,6089.9,
1/12/2022,2,3995.8,
1/13/2022,2,3346.8,
1/14/2022,2,3039.3,
1/15/2022,2,2056.3,
1/16/2022,2,5195.8,
1/17/2022,2,4594.4,
1/18/2022,2,7348.2,
1/19/2022,2,7859.0,
1/20/2022,2,7699.9,
1/21/2022,2,7851.6,
1/22/2022,2,8759.3,
1/23/2022,2,8776.5,
1/24/2022,2,8617.0,
1/25/2022,2,8545.4,
1/26/2022,2,8839.5,
1/27/2022,2,8632.7,
