category,item,PC1,PC2,PC3,PC4,PC5,PC6
Desserts,Baked Apple Pie,-0.6943680597486601,-1.2241391269779436,0.42875919305737076,0.7021789817302141,-0.07403791675636523,0.9133748201125677
Desserts,Chocolate Chip Cookie,-1.6319353811806145,-1.121478916804158,-0.6935360632222003,-0.07390086296391608,-0.3107880438828112,0.42627001043057594
Desserts,Oatmeal Raisin Cookie,-1.815065863106468,-1.1916649670463164,-0.6423209731234317,-0.11724042517534396,-0.23836988097964468,0.38699366973471305
Desserts,Kids Ice Cream Cone,-2.6775143001691175,-1.3835502637672146,-0.7475645744734245,-0.36489865588534925,-0.30156337101852404,-0.10986622255945866
Desserts,Hot Fudge Sundae,-0.7524805129803056,0.8941886835196075,-0.33450673208337073,-0.017031430862826054,-0.025320559364995138,0.12331405639543734
Desserts,Hot Caramel Sundae,-1.3874513986907178,1.055580764776111,-0.3873617615741457,-0.051138520943694546,-0.20021191773130412,0.007106095364223172
Desserts,Strawberry Sundae,-1.698703472632729,0.7049417158045755,-0.36140670481190235,0.054099678959974674,-0.25470495415363786,0.010212706088507939
Beverages,Coca-Cola Classic (Small),-2.7081300064651512,-0.2652439675292315,-0.5729032287469961,0.18369799080147942,-0.3218927922068121,0.6971615088125968
Beverages,Coca-Cola Classic (Medium),-2.6355411047149757,0.3279615489920746,-0.4792746914016226,0.4029942686961362,-0.33583018073026016,0.9982433052131751
Beverages,Coca-Cola Classic (Large),-2.530989044300788,1.1294205240865332,-0.3526102442981686,0.7027045947963192,-0.35203231646539723,1.4104566104872174
Beverages,Coca-Cola Classic (Child),-2.76996518239036,-0.7024857047008007,-0.6421289805346349,0.01765242085304365,-0.3149988633565124,0.4682547698608351
Beverages,Diet Coke (Small),-2.9022981186629297,-1.7536677784189403,-0.808137201939125,-0.3729069005274321,-0.29180311155584315,-0.06837748669633878
Beverages,Diet Coke (Medium),-2.886076841907148,-1.7618423027820147,-0.8110601199948629,-0.37192506614478077,-0.28474120333875697,-0.0643623795096849
Beverages,Diet Coke (Large),-2.886076841907148,-1.7618423027820147,-0.8110601199948629,-0.37192506614478077,-0.28474120333875697,-0.0643623795096849
Beverages,Diet Coke (Child),-2.886076841907148,-1.7618423027820147,-0.8110601199948629,-0.37192506614478077,-0.28474120333875697,-0.0643623795096849
Beverages,Dr Pepper (Small),-2.688532320181371,-0.416821975579853,-0.599997918144729,0.13762842515794424,-0.30308995052641285,0.6396603869419215
Beverages,Dr Pepper (Medium),-2.578512708836368,0.2204986958017942,-0.5006591746547476,0.38506987769455775,-0.3051867183713155,0.9837137419538008
Beverages,Dr Pepper (Large),-2.474766521699813,0.9200238272592343,-0.39185863435033297,0.6481637508433205,-0.3143767894969826,1.3476982605801817
Beverages,Dr Pepper (Child),-2.7495616228289474,-0.7521298691144036,-0.6513597631333283,0.0081993081609288,-0.30320808628558316,0.45898243463782107
Beverages,Diet Dr Pepper (Small),-2.7855138728698328,-1.7821349780597606,-0.8062582061979093,-0.3846221539776445,-0.20643009278026533,-0.09041037142987449
Beverages,Diet Dr Pepper (Medium),-2.735232388351176,-1.7922813156986335,-0.8038572492994325,-0.39097069789407635,-0.16727453750101948,-0.10343436738996942
Beverages,Diet Dr Pepper (Large),-2.6687296270767362,-1.810602177700581,-0.8043792104566937,-0.39633740742785695,-0.12105707400468749,-0.11244325616341044
Beverages,Diet Dr Pepper (Child),-2.8357953573884904,-1.7719886404208878,-0.8086591630963862,-0.37827361006121263,-0.2455856480595112,-0.07738637546977978
